Date,Region,Channel,Product,Revenue,Units,Customer_Satisfaction
2026-01-03,North,Online,Starter,1250,37,4.2
2026-01-07,South,Retail,Starter,980,29,3.9
2026-01-12,East,Online,Pro,2210,41,4.6
2026-01-16,West,Retail,Pro,1760,35,4.1
2026-02-02,North,Partner,Starter,1430,33,4.0
2026-02-06,South,Online,Pro,2480,46,4.7
2026-02-11,East,Retail,Starter,1320,31,4.0
2026-02-18,West,Online,Pro,2670,52,4.8
2026-03-04,North,Online,Pro,2920,55,4.9
2026-03-08,South,Partner,Starter,1160,28,3.8
2026-03-14,East,Online,Starter,1540,38,4.3
2026-03-19,West,Retail,Starter,1210,30,3.9
2026-04-03,North,Retail,Pro,2140,40,4.4
2026-04-09,South,Online,Starter,1710,42,4.2
2026-04-15,East,Partner,Pro,2360,44,4.5
2026-04-22,West,Online,Starter,1880,45,4.4
2026-05-05,North,Partner,Pro,2550,48,4.6
2026-05-11,South,Retail,Pro,1970,37,4.2
2026-05-17,East,Online,Pro,3180,61,4.9
2026-05-24,West,Partner,Starter,1490,34,4.1
